path,label,low_frac,high_frac,mean_flatness,high_flat_frame_frac,peak_count,rhythmic,freq_unnatural,noise_like,too_short
quiet_horizon/dsp_dataset\anthro\home_improvement\mixed\240916_0319_19_09_59.wav,1,0.8047484214840218,7.21818564221487e-09,5.027271186008875e-07,0.0,1,0,1,0,0
quiet_horizon/dsp_dataset\anthro\home_improvement\mixed\240916_0319_19_10_04~2.wav,1,0.7546769762797211,4.794980926640763e-08,4.894527023679984e-07,0.0,1,0,1,0,0
quiet_horizon/dsp_dataset\anthro\home_improvement\mixed\240916_0319_19_10_09.wav,1,0.7294824962356774,2.940366652217304e-08,7.018096681576935e-08,0.0,1,0,1,0,0
quiet_horizon/dsp_dataset\anthro\home_improvement\mixed\240916_0319_19_10_14.wav,1,0.4912503566866539,4.310003214667223e-07,7.579835141768854e-07,0.0,1,0,1,0,0
quiet_horizon/dsp_dataset\anthro\home_improvement\mixed\240916_0319_19_10_19.wav,1,0.860402743416461,7.688391472426253e-08,2.758829964477627e-07,0.0,1,0,1,0,0
quiet_horizon/dsp_dataset\anthro\home_improvement\mixed\250708_0524_19_07_20~1.wav,1,0.8982141834487508,1.6748442330856353e-07,1.0027149954794368e-07,0.0,1,0,1,0,0
quiet_horizon/dsp_dataset\anthro\home_improvement\mixed\250708_0524_19_07_20~2.wav,1,0.9135471464459276,6.14972878521661e-08,8.280015606487723e-08,0.0,0,0,1,0,0
quiet_horizon/dsp_dataset\anthro\home_improvement\mixed\250708_0524_19_07_25~1.wav,1,0.9363639922579121,4.53555551610218e-07,1.444082275980918e-08,0.0,0,0,1,0,0
quiet_horizon/dsp_dataset\anthro\home_improvement\mixed\250708_0524_19_07_25~2.wav,1,0.9486184523333148,1.283606965923554e-07,2.189107206618246e-08,0.0,0,0,1,0,0
quiet_horizon/dsp_dataset\anthro\home_improvement\mixed\250708_0524_19_32_45~2.wav,1,0.9466410508102018,7.523937492936018e-08,1.5486987692270304e-08,0.0,0,0,1,0,0
quiet_horizon/dsp_dataset\anthro\home_improvement\mixed\250708_0524_19_32_50~1.wav,1,0.9280121638469707,4.072655987853802e-07,2.7997966611792435e-08,0.0,0,0,1,0,0
quiet_horizon/dsp_dataset\anthro\home_improvement\mixed\250708_0524_19_32_50~2.wav,1,0.9402717299741002,4.028446403232127e-09,1.1516973152936316e-08,0.0,0,0,1,0,0
quiet_horizon/dsp_dataset\anthro\home_improvement\mixed\250708_0524_19_33_05~1.wav,1,0.9320664716863957,7.456715711380585e-08,2.0123851030007245e-08,0.0,0,0,1,0,0
quiet_horizon/dsp_dataset\anthro\home_improvement\mixed\250708_0524_19_33_05~2.wav,1,0.8991749369217243,3.7160759146586677e-07,3.893451960834682e-08,0.0,1,0,1,0,0
quiet_horizon/dsp_dataset\anthro\home_improvement\mixed\250708_0524_19_33_40~1.wav,1,0.7911758894045654,4.003090847553135e-09,1.1540533506604334e-07,0.0,1,0,1,0,0
quiet_horizon/dsp_dataset\anthro\home_improvement\mixed\250708_0524_19_33_40~2.wav,1,0.8814085329265714,2.6605222795007595e-08,8.532597917110252e-08,0.0,1,0,1,0,0
quiet_horizon/dsp_dataset\anthro\home_improvement\mixed\250708_0524_19_33_50~1.wav,1,0.8626334914294455,1.3208897075646586e-07,6.371622873757588e-08,0.0,1,0,1,0,0
quiet_horizon/dsp_dataset\anthro\home_improvement\mixed\250708_0524_19_33_50~2.wav,1,0.9148348633841916,5.13851017128933e-07,4.034374967432086e-08,0.0,0,0,1,0,0
quiet_horizon/dsp_dataset\anthro\home_improvement\mixed\250708_0524_19_34_05~1.wav,1,0.850071472242471,9.179435106891826e-09,4.673256626119837e-08,0.0,1,0,1,0,0
quiet_horizon/dsp_dataset\anthro\home_improvement\mixed\250708_0524_19_34_05~2.wav,1,0.9203016754344115,1.4596024963548122e-07,3.7976047195797946e-08,0.0,0,0,1,0,0
quiet_horizon/dsp_dataset\anthro\home_improvement\mixed\250708_0524_19_34_10~1.wav,1,0.8841486894967827,5.007956637361616e-07,6.768320304217923e-08,0.0,1,0,1,0,0
quiet_horizon/dsp_dataset\anthro\home_improvement\mixed\250708_0524_19_34_10~2.wav,1,0.8892505569553436,1.6327746467152528e-08,6.479951508708837e-08,0.0,1,0,1,0,0
quiet_horizon/dsp_dataset\anthro\home_improvement\mixed\250708_0524_19_34_15~1.wav,1,0.9191245082821374,2.0657586150919289e-07,9.714991477949297e-08,0.0,0,0,1,0,0
quiet_horizon/dsp_dataset\anthro\home_improvement\mixed\250708_0524_19_34_15~2.wav,1,0.8003618817852834,6.718768556978493e-08,8.769104198336208e-08,0.0,1,0,1,0,0
quiet_horizon/dsp_dataset\anthro\home_improvement\mixed\250708_0524_19_34_40~1.wav,1,0.9043928524115723,6.754976941829506e-08,1.7896727655397626e-08,0.0,0,0,1,0,0
quiet_horizon/dsp_dataset\anthro\home_improvement\mixed\250708_0524_19_34_40~2.wav,1,0.7807690018308616,3.940231756238664e-09,6.292878662605972e-09,0.0,1,0,1,0,0
quiet_horizon/dsp_dataset\anthro\home_improvement\mixed\250708_0524_19_34_45~1.wav,1,0.8191272424841463,1.9311921142583977e-08,5.837331951141778e-09,0.0,1,0,1,0,0
quiet_horizon/dsp_dataset\anthro\home_improvement\mixed\250708_0524_19_34_45~2.wav,1,0.8105177573450791,1.109790279814104e-07,6.390290518965003e-09,0.0,1,0,1,0,0
quiet_horizon/dsp_dataset\anthro\home_improvement\mixed\250708_0524_19_34_50~1.wav,1,0.7953522022534607,1.1316655261516328e-07,2.3254209224887745e-08,0.0,1,0,1,0,0
quiet_horizon/dsp_dataset\anthro\home_improvement\mixed\250708_0524_19_34_50~2.wav,1,0.7556776135798839,8.021466696521652e-08,2.8909525440212747e-08,0.0,1,0,1,0,0
quiet_horizon/dsp_dataset\anthro\home_improvement\mixed\250708_0524_19_34_55~1.wav,1,0.807790104909273,4.2004128280647377e-07,5.4706042362795415e-08,0.0,1,0,1,0,0
quiet_horizon/dsp_dataset\anthro\home_improvement\mixed\250708_0524_19_34_55~2.wav,1,0.8530594038521987,1.3462292816100763e-06,1.7499253601727105e-08,0.0,0,0,1,0,0
quiet_horizon/dsp_dataset\anthro\home_improvement\mixed\250708_0524_19_35_00~1.wav,1,0.8421694081837701,1.2466880297933625e-07,4.230647832059731e-08,0.0,1,0,1,0,0
quiet_horizon/dsp_dataset\anthro\home_improvement\mixed\250708_0524_19_35_00~2.wav,1,0.8605458425013833,1.2497978636239033e-07,1.2311822672472772e-08,0.0,0,0,1,0,0
quiet_horizon/dsp_dataset\anthro\home_improvement\mixed\250708_0524_19_35_05.wav,1,0.8656600501581805,1.0108773993795754e-08,2.1715145237521938e-08,0.0,0,0,1,0,0
quiet_horizon/dsp_dataset\anthro\home_improvement\mixed\250708_0524_19_35_10~1.wav,1,0.7834886247704707,5.649266215117711e-08,2.455598391293279e-08,0.0,1,0,1,0,0
quiet_horizon/dsp_dataset\anthro\home_improvement\mixed\250708_0524_19_35_10~2.wav,1,0.8558765712878252,6.180832591617538e-09,7.31267313369699e-09,0.0,1,0,1,0,0
quiet_horizon/dsp_dataset\anthro\home_improvement\mixed\250708_0524_19_35_15~1.wav,1,0.834005487256995,7.244877515887667e-08,5.4952584704892615e-09,0.0,1,0,1,0,0
quiet_horizon/dsp_dataset\anthro\home_improvement\mixed\250708_0524_19_35_15~2.wav,1,0.9292114039041253,5.761013121254332e-08,4.792968244515805e-10,0.0,0,0,1,0,0
quiet_horizon/dsp_dataset\anthro\home_improvement\mixed\250708_0524_19_35_20~1.wav,1,0.8787886542471077,2.599674496609369e-08,2.8437627808131083e-09,0.0,0,0,1,0,0
quiet_horizon/dsp_dataset\anthro\home_improvement\mixed\250708_0524_19_35_20~2.wav,1,0.8867783271088627,3.110329256090095e-08,6.5800915827196604e-09,0.0,0,0,1,0,0
quiet_horizon/dsp_dataset\anthro\home_improvement\mixed\250708_0524_19_35_25~1.wav,1,0.9193753619540934,3.291776094369363e-07,1.641361357940241e-08,0.0,0,0,1,0,0
quiet_horizon/dsp_dataset\anthro\home_improvement\mixed\250708_0524_19_35_25~2.wav,1,0.8031731510984612,3.9911981407323685e-07,5.8742095632169367e-08,0.0,1,0,1,0,0
quiet_horizon/dsp_dataset\anthro\home_improvement\mixed\250708_0524_19_36_00~1.wav,1,0.933947809037429,1.0776451791851673e-07,4.947332321592057e-09,0.0,0,0,1,0,0
quiet_horizon/dsp_dataset\anthro\home_improvement\mixed\250708_0524_19_36_00~2.wav,1,0.9279406678260701,1.949864142560129e-07,4.7456754082020325e-09,0.0,0,0,1,0,0
quiet_horizon/dsp_dataset\anthro\home_improvement\mixed\250708_0524_19_36_05~1.wav,1,0.8969203012041481,4.179959568426691e-08,2.1668585148404418e-08,0.0,0,0,1,0,0
quiet_horizon/dsp_dataset\anthro\home_improvement\mixed\250708_0524_19_36_05~2.wav,1,0.7680255238149764,1.2119042439489527e-07,8.585584510001354e-08,0.0,1,0,1,0,0
quiet_horizon/dsp_dataset\anthro\home_improvement\mixed\250708_0524_19_36_10~1.wav,1,0.8682880493344164,1.7225806566036706e-07,3.779652857360816e-08,0.0,1,0,1,0,0
quiet_horizon/dsp_dataset\anthro\home_improvement\mixed\250708_0524_19_36_10~2.wav,1,0.8514141259685382,7.192149793958877e-08,4.374053563793723e-09,0.0,0,0,1,0,0
